id,name,party,constituency
7671,Sensio Banda,Patriotic Front (PF),Kasenengwa
185,Whiteson Banda,Patriotic Front (PF),Milanzi
9,Charles Banda,Patriotic Front (PF),Kapoche
186,Ephraim Belemu,United Party for National Development (UPND),Mbabala
5390,Rasfold Bulaya,United Party for National Development (UPND),Mpongwe
5452,Fred Chaatila,United Party for National Development (UPND),Moomba
5491,Jewis Chabi,Independent (Independent),Chipili
5357,Chilombo Chali,Patriotic Front (PF),Nchanga
5699,Sylvia Chalikosa,Patriotic Front (PF),Mpika Central
7967,Charles Chalwe,Patriotic Front (PF),Bahati
5394,Jonas Chanda,Patriotic Front (PF),Bwana Mkubwa
190,Hastings Chansa,Patriotic Front (PF),Chimbamilonga
5393,Evans Chibanda,Patriotic Front (PF),Mufulira
5722,Makozo Chikote,United Party for National Development (UPND),Luampa
193,Nickson Chilangwa,Patriotic Front (PF),Kawambwa
3340,Chitalu Chilufya,Patriotic Front (PF),Mansa Central
8462,George Chisanga,Patriotic Front (PF),Lukashya
5462,Attractor Chisangano,United Party for National Development (UPND),Gwembe
7968,Joseph Chishala,National Democratic Congress (NDC),Roan
3384,Davies Chisopa,Patriotic Front (PF),Mkushi South
5372,Alexander Chiteme,Patriotic Front (PF),Nkana
209,Ronald Chitotela,Patriotic Front (PF),Pambashe
5344,Gift Chiyalika,Patriotic Front (PF),Lufubu
5528,Mirriam Chonya,United Party for National Development (UPND),Kafue
218,Stephen Chungu,Patriotic Front (PF),Luanshya
187,Lazarous Chungu,Patriotic Front (PF),Lupososhi
4043,Peter Daka,Patriotic Front (PF),Msanzala
5754,Chama Davies,Patriotic Front (PF),Nominated
8296,Mulenga Fube,Patriotic Front (PF),Chilubi
5701,Rosaria Fundanga,Patriotic Front (PF),Chilubi
5382,Leonard Fungulwe,United Party for National Development (UPND),Lufwanyama
5748,Edify Hamukale,Patriotic Front (PF),Nominated
222,Boyd Hamusonde,Independent (Independent),Nangoma
5449,Mwilola Imakando,United Party for National Development (UPND),Mongu Central
5445,George Imbuwa,Independent (Independent),Nalolo
5665,Machila Jamba,Independent (Independent),Mwembeshi
5424,Pilila Jere,Independent (Independent),Lumezi
5455,Mathews Jere,United Party for National Development (UPND),Livingstone
5385,Joseph Kabamba,Patriotic Front (PF),Kafulafuta
7218,Maxwell Kabanda,Movement for Multi-Party Democracy (MMD),Serenje
224,Emerine Kabanshi,Patriotic Front (PF),Luapula
5621,Mutotwe Kafwaya,Patriotic Front (PF),Lunte
5331,Stanley Kakubo,United Party for National Development (UPND),Kapiri Mposhi
228,Harry Kalaba,Patriotic Front (PF),Bahati
231,Christopher Kalila,United Party for National Development (UPND),Lukulu East
238,Victoria Kalima,Patriotic Front (PF),Kasenengwa
5375,Pavyuma Kalobo,Independent (Independent),Wusakile
5466,Brian Kambita,United Party for National Development (UPND),Zambezi East
5459,Harry Kamboni,United Party for National Development (UPND),Kalomo Central
240,Chishimba Kambwili,Patriotic Front (PF),Roan
5471,Elliot Kamondo,United Party for National Development (UPND),Mufumbwe
8463,Kabaso Kampampi,Patriotic Front (PF),Mwansabombwe
260,Stephen Kampyongo,Patriotic Front (PF),Shiwa Ng'andu
7886,Romeo Kang'ombe,United Party for National Development (UPND),Sesheke
8063,Aubrey Kapalasa,United Party for National Development (UPND),Katuba
242,Jean Kapata,Patriotic Front (PF),Mandevu
4066,Richard Kapita,Patriotic Front (PF),Nominated
5317,Chushi Kasanda,United Party for National Development (UPND),Chisamba
4504,Anthony Kasandwe,Patriotic Front (PF),Bangweulu
4564,Teddy Kasonso,United Party for National Development (UPND),Solwezi West
5314,Princess Kasune,United Party for National Development (UPND),Keembe
264,Micheal Katambo,Patriotic Front (PF),Masaiti
5488,Given Katuta,Forum for Democracy and Development (FDD),Chienge
5578,Lloyd Kaziya,Patriotic Front (PF),Matero
5467,Leaky Kintu,United Party for National Development (UPND),Solwezi East
5485,Sebastian Kopulande,Patriotic Front (PF),Chembe
5465,Prisca Kucheka,United Party for National Development (UPND),Zambezi West
5438,Frank Kufakwandi,United Party for National Development (UPND),Sesheke
290,Howard Kunda,Movement for Multi-Party Democracy (MMD),Muchinga
5450,David Kundoti,United Party for National Development (UPND),Luena
7533,Maria Langa,Patriotic Front (PF),Chilanga
5587,Robert Lihefu,United Party for National Development (UPND),Manyinga
292,Derick Livune,United Party for National Development (UPND),Katombola
294,Moono Lubezhi,United Party for National Development (UPND),Namwala
293,Given Lubinda,Patriotic Front (PF),Kabwata
295,Ambrose Lufuma,United Party for National Development (UPND),Kabompo
5604,Victor Lumayi,United Party for National Development (UPND),Chavuma
296,Geoffrey Lungwangwa,United Party for National Development (UPND),Nalikwanda
300,Nkandu Luo,Patriotic Front (PF),Munali
5396,Bowman Lusambo,Patriotic Front (PF),Kabushi
301,David Mabumba,Patriotic Front (PF),Mwense
5639,Emmerson Machila,United Party for National Development (UPND),Magoye
5513,Anthony Malama,Patriotic Front (PF),Nchelenge
304,Mwimba Malama,Patriotic Front (PF),Mfuwe
5698,Martin Malama,Patriotic Front (PF),Kanchibiya
5369,Joseph Malanji,Patriotic Front (PF),Kwacha
402,Sichone Malozo,Patriotic Front (PF),Isoka
5447,Alfred Mandumbwa,Independent (Independent),Mulobezi
51,Patrick Matibini,Not Applicable (N/A),Not Applicable
5418,Moses Mawere,Patriotic Front (PF),Chipata Central
310,Mutinta Mazoka,United Party for National Development (UPND),Pemba
5440,Kapelwa Mbangweta,United Party for National Development (UPND),Nkeyema
314,Mwansa Mbulakulima,Patriotic Front (PF),Milenge
5518,Ponde Mecha,Patriotic Front (PF),Chifunabuli
5453,Kasautu Michelo,United Party for National Development (UPND),Bweengwa
3372,Margaret Miti,Patriotic Front (PF),Vubwi
5531,Stephen Miti,Independent (Independent),Feira
321,Clive Miyanda,United Party for National Development (UPND),Mapatizya
323,Chinga Miyutu,United Party for National Development (UPND),Kalabo Central
4164,Mubika Mubika,United Party for National Development (UPND),Shang’ombo
335,Nathaniel Mubukwanu,Patriotic Front (PF),Nominated
337,Elijah Muchima,United Party for National Development (UPND),Ikeleng'i
340,Keith Mukata,United Party for National Development (UPND),Chilanga
5696,Kalalwe Mukosa,Patriotic Front (PF),Chinsali
5360,Kampamba Mulenga,Patriotic Front (PF),Kalulushi
5397,Emmanuel Mulenga,Patriotic Front (PF),Ndola Central
5549,Mukumbuta Mulowa,United Party for National Development (UPND),Senanga
5602,Darius Mulunda,United Party for National Development (UPND),Siavonga
5468,Stafford Mulusa,United Party for National Development (UPND),Solwezi Central
5776,Lucky Mulusa,Patriotic Front (PF),Nominated
5657,Sheal Mulyata,United Party for National Development (UPND),Rufunsa
5392,Anthony Mumba,Independent (Independent),Kantanshi
